Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,tissue,treatment
SRR20705552,RNA-Seq,50,3254382500,PRJNA863398,SAMN30032932,Plant,1999201479,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,Chakwal-86,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727192,Pakistan,Asia,Pakistan,BGISEQ-500,SMCH8_L,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:36:00Z,1,SMCH8_L,SRP388693,leaf,control
SRR20705553,RNA-Seq,50,3353026600,PRJNA863398,SAMN30032931,Plant,2051994719,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,Chakwal-50,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727191,Pakistan,Asia,Pakistan,BGISEQ-500,SMCH5_L,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:37:00Z,1,SMCH5_L,SRP388693,leaf,control
SRR20705554,RNA-Seq,50,2307613700,PRJNA863398,SAMN30032930,Plant,1365826394,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,C-518,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727190,Pakistan,Asia,Pakistan,BGISEQ-500,SMC18_L,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:32:00Z,1,SMC18_L,SRP388693,leaf,control
SRR20705555,RNA-Seq,50,3250318950,PRJNA863398,SAMN30032929,Plant,1930913898,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,C-271,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727189,Pakistan,Asia,Pakistan,BGISEQ-500,SMC71_L,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:36:00Z,1,SMC71_L,SRP388693,leaf,control
SRR20705556,RNA-Seq,50,3632858450,PRJNA863398,SAMN30032902,Plant,2125447742,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,C-518,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727188,Pakistan,Asia,Pakistan,BGISEQ-500,SMC18_R,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:44:00Z,1,SMC18_R,SRP388693,root,control
SRR20705557,RNA-Seq,50,3348527200,PRJNA863398,SAMN30032928,Plant,1976153810,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,C-217,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727187,Pakistan,Asia,Pakistan,BGISEQ-500,SMC17_L,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:37:00Z,1,SMC17_L,SRP388693,leaf,control
SRR20705558,RNA-Seq,50,3221875050,PRJNA863398,SAMN30032927,Plant,1923476927,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,Barani,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727186,Pakistan,Asia,Pakistan,BGISEQ-500,SMB_L,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:43:00Z,1,SMB_L,SRP388693,leaf,control
SRR20705559,RNA-Seq,50,3434568950,PRJNA863398,SAMN30032926,Plant,1999319772,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,Zincol-2016,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727185,Pakistan,Asia,Pakistan,BGISEQ-500,SMZ6_R,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:41:00Z,1,SMZ6_R,SRP388693,root,control
SRR20705560,RNA-Seq,50,3531196750,PRJNA863398,SAMN30032925,Plant,2066212329,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,Ujala-2016,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727184,Pakistan,Asia,Pakistan,BGISEQ-500,SMUJ_R,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:42:00Z,1,SMUJ_R,SRP388693,root,control
SRR20705561,RNA-Seq,50,3635986350,PRJNA863398,SAMN30032924,Plant,2125502580,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,T-9,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727183,Pakistan,Asia,Pakistan,BGISEQ-500,SMT_R,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T03:06:00Z,1,SMT_R,SRP388693,root,control
SRR20705562,RNA-Seq,50,3369565700,PRJNA863398,SAMN30032923,Plant,1947834475,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,Sonalika,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727182,Pakistan,Asia,Pakistan,BGISEQ-500,SMSN_R,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:38:00Z,1,SMSN_R,SRP388693,root,control
SRR20705563,RNA-Seq,50,3625780800,PRJNA863398,SAMN30032922,Plant,2117772626,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,Seher-2006,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727181,Pakistan,Asia,Pakistan,BGISEQ-500,SMS6_R,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:51:00Z,1,SMS6_R,SRP388693,root,control
SRR20705564,RNA-Seq,50,3192248300,PRJNA863398,SAMN30032921,Plant,1788726335,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,S-24,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727180,Pakistan,Asia,Pakistan,BGISEQ-500,SMS24_R,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:37:00Z,1,SMS24_R,SRP388693,root,control
SRR20705565,RNA-Seq,50,3171903150,PRJNA863398,SAMN30032920,Plant,1809812772,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,Rawal-87,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727179,Pakistan,Asia,Pakistan,BGISEQ-500,SMRW_R,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:37:00Z,1,SMRW_R,SRP388693,root,control
SRR20705566,RNA-Seq,50,3443855250,PRJNA863398,SAMN30032919,Plant,2000788088,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,Punjab-96,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727178,Pakistan,Asia,Pakistan,BGISEQ-500,SMPN_R,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:38:00Z,1,SMPN_R,SRP388693,root,control
